h,bgtmp_noaa_awbasetsL,sebgtmp_noaa_aw,blnrgdppc_bud,selnrgdppc_bud
0,1,.011810235,-6.534925,1.8699912
1,.59176153,.073955581,-11.168078,3.5854442
2,.27422285,.082877979,-13.234364,3.7937891
3,.17465661,.077079155,-14.797143,4.6507492
4,.38034061,.095426962,-16.465059,5.3075585
5,.24818633,.10365113,-17.83902,6.3027616
6,.23012105,.11958142,-16.680948,6.6980829
7,.24956553,.11690436,-12.929376,6.8202758
8,.36242148,.10848814,-12.221784,6.6991563
9,.33240271,.12454221,-12.242813,7.141252
10,.4314701,.11768196,-9.7056847,7.4924011
