h,b_regtmp_bkly_awbasetsS,seb_regtmp_bkly_awbasetsS,blnrgdppc_pwt_reg1,seblnrgdppc_pwt_reg1,blnrgdppc_pwt_reg2,seblnrgdppc_pwt_reg2,blnrgdppc_pwt_reg3,seblnrgdppc_pwt_reg3,blnrgdppc_pwt_reg4,seblnrgdppc_pwt_reg4,blnrgdppc_pwt_reg5,seblnrgdppc_pwt_reg5,blnrgdppc_pwt_reg6,seblnrgdppc_pwt_reg6,blnrgdppc_pwt_reg7,seblnrgdppc_pwt_reg7,blnrgdppc_pwt_reg8,seblnrgdppc_pwt_reg8,blnrgdppc_pwt_reg9,seblnrgdppc_pwt_reg9
0,1,.014983368,-1.9046562,2.4658582,-2.5093613,1.414391,-1.0632464,1.584671,-1.6451768,3.6195385,-2.0395911,1.8296515,-.63531309,2.555917,-1.8408772,1.6849381,-5.4504547,2.7159414,-2.1331277,1.506495
1,.40785712,.11136805,-.5281918,3.8814433,-.82417643,1.2917274,-.31565654,1.7143193,-6.183876,3.8905802,-4.1457887,1.6991881,3.3970542,2.7078886,-.49438608,1.7790754,-5.0054917,4.5680828,-2.6696947,2.4229758
2,.31934959,.13478015,-1.1784692,3.7000151,-.000594232,1.7292188,-3.1958373,3.4234648,-7.4366975,5.9412928,-5.6815481,2.584595,2.323061,2.5405545,-3.2785749,3.123039,-5.9409881,4.306313,-6.1666203,3.1267929
3,.35939991,.11939931,-1.7665105,4.1017351,-.72283173,2.8507071,-4.5884161,4.3694682,-10.191713,6.3073053,-5.8961878,3.4174244,-.34749478,3.4013438,-7.6952729,3.9502895,-8.2895069,5.1387196,-12.304144,3.7413211
4,.34108007,.12040869,-.95989633,6.5841851,-6.111722,4.5534153,-8.6943941,4.8084869,-17.223885,8.9868889,-9.2794085,4.7993941,-.34625083,4.4901385,-7.0855331,4.7308898,-9.980546,6.7576847,-14.688363,5.1201749
5,.13619155,.1301157,.10711074,7.4945202,-6.6891551,5.4649248,-10.871169,5.2403054,-17.54855,9.4362602,-11.525463,5.7437806,-2.9777503,4.9159074,-6.9970937,5.9442434,-11.527999,7.2770753,-16.464071,4.8444014
6,.17416234,.14078578,1.4147229,7.6600404,-8.4595671,6.2158303,-14.07828,5.1911635,-17.898197,10.467556,-8.836895,5.9630828,-3.1084588,5.6205821,-3.6592975,4.3883896,-14.924944,7.6140375,-20.170431,5.1373849
7,.37882087,.14964937,2.3095002,8.304513,-9.5907345,7.3827729,-12.971987,4.8475928,-14.120003,11.239414,-8.5837736,6.5337377,-5.0884042,5.5220003,-2.1504128,4.4404187,-16.934347,7.9083853,-17.111546,5.3474417
8,.30876881,.11867554,5.5552611,8.5024796,-6.6493707,8.1647453,-11.340467,5.3117933,-20.062654,12.740864,-6.0396457,7.1620727,-7.2364254,5.8139076,.17580743,3.3826416,-18.83613,7.4780998,-14.289746,4.3326941
9,.13687953,.11906781,10.06888,8.0391264,.96671569,10.230581,-6.255888,6.5333705,-15.353817,15.611285,-5.1671224,9.2112141,-4.1839824,7.2582202,3.0674841,4.6685724,-17.41255,6.3982491,-13.009233,5.2932391
10,.49216914,.20153102,7.5955749,7.5022211,3.6083059,12.181453,-3.7566292,7.958179,-10.919868,16.609615,.47873023,9.274518,-7.4013715,7.3763695,2.5636873,5.8363295,-17.92197,5.6418452,-9.5013275,5.5210967
