h,bgtmp_bkly_aw,sebgtmp_bkly_aw,blnrgdppc_world_pwt,selnrgdppc_world_pwt
0,1,.014983368,-1.7946329,1.1061316
1,.40785712,.11136805,-2.4754267,1.6007317
2,.31934959,.13478015,-4.5535994,2.2291093
3,.35939991,.11939931,-6.4966741,2.5346181
4,.34108007,.12040869,-9.1359138,3.3300335
5,.13619155,.1301157,-11.769765,3.9776559
6,.17416234,.14078578,-12.109379,4.0096264
7,.37882087,.14964937,-11.264173,4.6293941
8,.30876881,.11867554,-10.906189,5.521266
9,.13687953,.11906781,-5.6482172,6.6688552
10,.49216914,.20153102,-6.8999372,6.8138723
