h,b,up1b,up2b,lo1b,lo2b
0,-2.37092831993231,1.51406827041325,0.885329907236599,-6.15377191894832,-5.5604250090019
1,-3.18464404514987,1.66921820121547,0.861342948799707,-8.02708921873289,-7.28581058179197
2,-4.87288106996619,0.142897448340769,-0.733554628422358,-9.77599090537084,-9.00397714928973
3,-5.75942657163624,0.394641195294211,-0.756379740499124,-11.6052916129815,-10.6739848136638
4,-6.96014454478658,-0.0059908265703541,-1.27733209189183,-13.6541955652067,-12.4402441765887
5,-8.85473570853663,-1.18337951495275,-2.50074474497664,-16.0129474007948,-14.8104740314316
6,-9.12305595014254,-0.561802340654483,-2.19989457225727,-16.8612720400392,-15.4618181640206
7,-9.46237737071318,0.0429455839365644,-1.88832173313198,-17.6845241298096,-16.2902659236799
8,-10.7532607766761,-0.450550596213958,-2.54941749647198,-19.5128565528364,-17.9001640415967
9,-11.2535680724408,-0.268131209826031,-2.56362602606527,-20.5126409366524,-18.8642879963363
10,-11.0174257692938,0.548437127084032,-1.64415400193696,-20.7780143594529,-18.9120277042716
