year,ypc
1960,4355.3472
1961,4434.6709
1962,4583.4424
1963,4719.7856
1964,4925.5034
1965,5085.459
1966,5221.9077
1967,5308.6421
1968,5470.7173
1969,5681.8394
1970,5850.8169
1971,5990.9692
1972,6186.6543
1973,6490.457
1974,6521.0498
1975,6491.4336
1976,6690.4614
1977,6875.27
1978,7088.6006
1979,7250.8423
1980,7279.8286
1981,7246.0635
1982,7080.9321
1983,7096.9238
1984,7270.519
1985,7351.7173
1986,7486.4043
1987,7682.7578
1988,7906.1318
1989,8060.5625
1990,8222.917
1991,8300.1123
1992,8493.5127
1993,8677.5381
1994,8955.4531
1995,9332.3213
1996,9740.3828
1997,9925.9521
1998,9946.0088
1999,10174.223
2000,10521.759
2001,10580.996
2002,10690.737
2003,10924.281
2004,11394.184
2005,12103.165
2006,12578.175
2007,13149.482
2008,13459.573
2009,13215.913
2010,14139.418
2011,14760.174
2012,15045.984
2013,15138.345
2014,15274.573
2015,15358.045
2016,15483.659
2017,15914.831
2018,16134.507
2019,16281.685
